	named_entities	type
350	 Decreto no 4.858	train
351	Medida Provisória no 2.228	train
352	 Lei no 5.821	train
353	 Decreto no 107	train
354	 Decreto no 4.034	train
355	 Lei no 8.112	test
356	 Decreto no 1.910	test
357	 Decreto no 6.847	train
358	 Decreto no 5.417	train
359	 Lei no 9.782	train
360	 Lei no 9.610	train
361	 Decreto no 4.801	train
362	 Lei no 11.077	train
363	 Lei no 8.248	train
364	 Lei no 10.176	train
365	 Decreto no 5.906	train
366	 Decreto no 6.306	train
367	 Lei no 10.871	train
368	 Lei no 11.539	train
369	 Lei no 11.526	train
370	 Lei no 10.683	train
371	 Decreto no 1.711	test
372	 Lei no 10.836	test
373	 Decreto no 5.209	test
374	 Lei no 9.266	train
375	 Decreto no 5.063	train
376	 Decreto no 6.006	train
377	 Decreto no 6.890	train
378	 Lei no 9.703	train
379	 Lei no 6.015	train
380	 Lei no 8.742	train
381	Medida Provisória no 2.187	train
382	 Decreto no 5.417	train
383	 Lei no 10.172	test
384	 Decreto no 1.091	test
385	 Lei no 11.892	train
386	 Lei no 10.683	train
387	 Decreto no 6.827	train
388	 Lei no 8.245	train
389	 Lei no 8.989	train
390	 Lei no 9.478	train
391	 Decreto no 6.752	train
392	 Decreto no 5.992	train
393	 Decreto no 6.890	test
394	 Decreto no 6.006	test
395	 Lei no 11.337	test
396	 Lei no 8.429	train
397	 Lei no 7.210	train
398	 Lei no 5.869	train
399	 Lei no 10.683	train
400	 Lei no 5.869	train
401	 Lei no 9.099	train
402	 Decreto no 6.647	train
403	 Lei no 10.406	train
404	 Decreto no 6.752	test
405	 Lei no 6.815	test
406	 Lei no 9.099	train
407	 Decreto no 6.752	train
408	 Decreto no 6.759	train
409	 Decreto no 6.296	train
410	 Decreto no 6.991	train
411	 Lei no 5.700	train
412	 Lei no 10.831	train
413	 Decreto no 6.323	train
414	 Lei no 11.770	train
415	Lei Complementar no 123	test
416	 Decreto no 3.048	test
417	 Lei no 12.017	train
418	 Lei no 11.171	train
419	 Lei no 11.539	train
420	 Decreto no 93.872	train
421	 Decreto no 6.890	train
422	 Lei no 11.355	train
423	 Lei no 11.355	train
424	 Lei no 11.890	train
425	 Lei no 11.907	train
426	 Lei no 11.907	train
427	 Lei no 11.907	train
428	 Lei no 11.907	train
429	 Lei no 11.357	train
430	 Lei no 11.784	train
431	 Lei no 11.907	train
432	 Lei no 11.046	train
433	 Lei no 10.855	train
434	 Lei no 11.356	train
435	 Lei no 9.637	train
436	 Lei no 8.829	train
437	 Lei no 8.112	train
438	 Lei no 11.357	train
439	 Lei no 11.233	train
440	 Lei no 11.355	train
441	 Lei no 8.212	train
442	 Lei no 9.656	train
443	 Lei no 8.742	train
444	Decreto-Lei no 1.578	test
445	 Lei no 8.911	test
446	 Lei no 9.478	train
447	 Lei no 9.649	train
448	 Lei no 9.649	train
449	Decreto-Lei no 2.406	train
450	 Lei no 7.827	train
451	 Lei no 7.827	train
452	 Lei no 9.082	train
453	 Lei no 9.293	train
454	 Lei no 8.745	train
455	 Lei no 8.745	test
456	 Lei no 8.745	test
457	 Lei no 8.745	train
458	 Lei no 8.745	train
459	 Lei no 8.745	train
460	 Lei no 9.605	train
461	 Lei no 9.649	train
462	 Lei no 9.491	train
463	 Lei no 9.692	train
464	 Lei no 7.998	train
465	 Lei no 6.321	train
466	 Lei no 6.494	train
467	 Lei no 9.424	test
468	 Lei no 8.989	test
469	 Lei no 9.530	train
470	 Lei no 9.491	train
471	 Lei no 8.177	train
472	 Lei no 8.249	train
473	 Lei no 8.249	train
474	 Lei no 6.507	train
475	 Decreto no 81.771	train
476	 Decreto no 2.609	train
477	 Lei no 9.430	train
478	 Decreto no 2.451	train
479	 Decreto no 2.337	train
480	 Decreto no 2.368	train
481	 Lei no 9.615	test
482	 Decreto no 2.027	test
483	 Decreto no 2.340	train
484	 Lei no 9.676	train
485	 Lei no 8.691	train
486	 Decreto no 2.548	train
487	 Decreto no 433	train
488	 Lei no 9.601	train
489	 Decreto no 1.712	train
490	 Decreto no 88.015	train
491	 Lei no 9.394	train
492	 Decreto no 2.317	test
493	 Decreto no 93.872	test
494	 Decreto no 98.160	train
495	 Decreto no 2.015	train
496	 Lei no 9.478	train
497	Lei Complementar no 94	train
498	 Decreto no 79.900	train
499	 Decreto no 2.203	train
500	 Decreto no 2.376	train
501	 Lei no 9.424	train
502	 Decreto no 2.264	train
503	 Lei no 9.279	test
504	 Lei no 8249	test
505	 Decreto no 2414	test
506	 Decreto no 2.340	train
507	 Decreto no 94.601	train
508	 Decreto no 2.451	train
509	 Lei no 9.609	train
510	 Decreto no 2.072	train
511	 Decreto no 1.958	train
512	 Decreto no 757	train
513	 Lei no 9.394	train
514	 Decreto no 2.494	train
515	 Decreto no 2.239	test
516	 Decreto no 87.737	test
517	 Decreto no 2.254	train
518	 Decreto no 2.219	train
519	 Lei no 9.266	train
520	 Decreto no 1.467	train
521	 Decreto no 2.453	train
522	 Decreto no 2.359	train
523	 Decreto no 1.361	train
524	 Decreto no 989	train
525	 Lei no 8.974	test
526	 Decreto no 1.752	test
527	 Decreto no 2.451	test
528	 Decreto no 99.684	train
529	 Decreto no 1.299	train
530	 Decreto no 2.389	train
531	 Decreto no 1.494	train
532	 Lei no 9.491	train
533	 Lei no 9.537	train
534	 Decreto no 92.222	train
535	 Decreto no 2.419	train
536	 Decreto no 2.224	test
537	 Decreto no 1.817	test
538	 Lei no 5.821	train
539	 Decreto no 107	train
540	 Lei no 9533	train
541	 Lei no 9.602	train
542	 Decreto no 433	train
543	 Decreto no 2.027	train
544	 Lei no 8.742	train
545	 Decreto no 2.027	train
546	 Lei no 13.152	train
547	 Decreto no 6.464	test
548	 Decreto no 9.054	test
549	Lei Complementar no 91	train
550	 Lei no 12.512	train
551	 Lei no 10.406	train
552	 Lei no 9.394	train
553	 Lei no 12.213	train
554	 Lei no 8.069	train
555	 Lei no 8.167	train
556	Medida Provisória no 2.199	train
557	 Lei no 8.958	train
558	 Lei no 9.394	test
559	 Lei no 5.764	test
560	 Decreto no 9.676	train
561	 Decreto no 9.279	train
562	 Lei no 10.826	train
563	 Decreto no 5.123	train
564	 Decreto no 9.031	train
565	 Decreto no 9.668	train
566	 Decreto no 9.666	train
567	 Lei no 12.527	train
568	 Decreto no 7.724	train
569	 Decreto no 9.454	train
570	 Decreto no 9.691	train
571	 Decreto no 9.681	test
572	 Decreto no 9.679	test
573	 Decreto no 9.680	test
574	 Decreto no 9.054	train
575	 Decreto no 9.669	train
576	 Decreto no 9.678	train
577	 Decreto no 9.670	train
578	 Lei no 10.480	train
579	 Lei no 11.473	train
580	 Decreto no 9.678	train
581	 Decreto no 9.668	train
582	 Decreto no 3.048	train
583	 Decreto no 9.662	train
584	 Decreto no 9.054	train
585	 Decreto no 7.168	train
586	 Decreto no 9.144	test
587	Medida Provisória no 857	test
588	 Lei no 12.618	train
589	 Decreto no 7.689	train
590	 Lei no 7.116	train
591	 Decreto no 9.278	train
592	 Decreto no 3.520	train
593	 Lei no 12.527	train
594	 Decreto no 9.690	train
595	 Decreto no 7.724	train
596	 Decreto no 66.434	train
597	 Decreto no 9.052	train
598	 Lei no 8.112	train
599	Decreto-Lei no 5.452	train
600	 Decreto no 9.493	test
601	 Decreto no 6.025	test
602	 Lei no 13.170	train
603	 Lei no 13.460	train
604	 Decreto no 9.094	train
605	 Decreto no 8.936	train
606	 Decreto no 9.492	train
607	 Lei no 10.406	train
608	 Lei no 8.934	train
609	 Decreto no 9.680	train
610	 Lei no 8.069	train
611	 Lei no 13.445	train
612	 Decreto no 9.199	train
613	 Decreto no 7.880	train
614	 Decreto no 9.727	test
615	 Decreto no 8.690	test
616	 Lei no 9.430	train
617	 Decreto no 9.075	train
618	 Decreto no 9.116	train
619	 Decreto no 6.605	train
620	 Decreto no 9.711	train
621	 Decreto no 8.690	train
622	 Decreto no 9.581	train
623	Medida Provisória no 858	train
624	 Decreto no 7.891	train
625	Lei Complementar no 105	test
626	 Lei no 12.414	test
627	Decreto-Lei no 1.876	test
628	Lei Complementar no 95	train
629	 Decreto no 6.514	train
630	 Lei no 13.146	train
631	 Lei no 11.771	train
632	 Decreto no 8.863	train
633	 Decreto no 3.125	train
634	 Lei no 10.438	train
635	 Lei no 12.111	train
636	Lei Complementar no 123	train
637	 Lei no 9.613	train
638	 Lei no 9.249	train
639	 Lei no 6.404	test
640	 Lei no 9.656	test
641	 Decreto no 9.410	train
642	 Decreto no 9.058	train
643	 Decreto no 5.751	train
644	 Lei no 11.107	train
645	 Lei no 11.107	train
646	 Lei no 9.503	train
647	 Lei no 10.233	train
648	 Lei no 12.815	train
649	 Lei no 13.334	train
650	 Lei no 12.527	train
651	 Decreto no 7.724	train
652	 Decreto no 9.673	train
653	Lei Complementar no 95	test
654	 Decreto no 9.759	test
655	 Lei no 10.826	test
656	 Lei no 8.001	train
657	 Lei no 7.990	train
658	 Lei no 8.069	train
659	 Lei no 10.098	train
660	 Lei no 9.394	train
661	 Lei no 11.340	train
662	 Lei no 12.485	train
663	 Lei no 12.587	train
664	 Lei no 9.096	train
665	 Lei no 10.826	test
666	 Decreto no 9.785	test
667	 Decreto no 9.607	test
668	Medida Provisória no 866	test
669	 Decreto no 4.993	train
670	 Lei no 8.918	train
671	 Decreto no 6.871	train
672	 Decreto no 9.319	train
673	 Decreto no 99.274	train
674	 Decreto no 9.678	train
675	 Decreto no 9.668	train
676	 Decreto no 9.759	train
677	 Decreto no 9.373	train
678	 Decreto no 9.711	train
679	 Decreto no 9.795	test
680	 Decreto no 7.950	test
681	 Decreto no 8.903	train
682	 Lei no 8.036	train
683	 Lei no 8.934	train
684	 Lei no 4.737	train
685	 Lei no 10.098	train
686	 Lei no 11.340	train
687	 Lei no 6.015	train
688	 Lei no 11.346	train
689	 Lei no 13.833	test
690	 Decreto no 3.446	test
691	 Lei no 13.681	train
692	Emenda Constitucional no 60	train
693	Emenda Constitucional no 79	train
694	Emenda Constitucional no 98	train
695	 Lei no 10.480	train
696	 Lei no 11.473	train
697	 Lei no 13.810	train
698	Decreto-Lei no 4.657	train
699	 Decreto no 9.673	train
700	 Decreto no 8.154	train
701	 Decreto no 9.637	train
702	 Decreto no 7.845	train
703	 Decreto no 9.628	train
704	 Lei no 12.651	train
705	 Lei no 12.310	test
706	 Decreto no 7.452	test
707	 Lei no 7.560	test
708	 Lei no 11.343	test
709	 Lei no 8.745	test
710	 Lei no 7.565	train
711	 Lei no 13.844	train
712	 Lei no 8.171	train
713	 Lei no 12.897	train
714	 Lei no 9.613	train
715	 Lei no 13.334	train
716	 Lei no 8.069	train
717	 Lei no 8.213	train
718	 Decreto no 9.527	train
719	 Lei no 11.697	train
720	 Decreto no 3.400	train
721	 Lei no 12.598	train
722	 Decreto no 7.970	train
723	Decreto-Lei no 828	test
724	 Decreto no 968	test
725	 Lei no 10.826	test
726	 Lei no 10.826	train
727	 Lei no 10.826	train
728	 Lei no 10.826	train
729	 Decreto no 9.128	train
730	 Decreto no 6.759	train
731	 Lei no 10.295	train
732	 Decreto no 5.906	train
733	 Decreto no 6.008	train
734	 Decreto no 9.557	train
735	 Decreto no 3.522	train
736	 Decreto no 9.489	test
737	 Decreto no 8.614	test
738	 Decreto no 4.376	train
739	 Decreto no 8.573	train
740	 Decreto no 3.998	train
741	 Decreto no 90.116	train
742	 Decreto no 4.853	train
743	 Lei no 13.576	train
744	 Decreto no 9.547	train
745	 Decreto no 8.950	train
746	 Decreto no 9.493	train
747	 Lei no 13.709	train
748	 Lei no 9.503	test
749	 Decreto no 9.203	test
750	 Lei no 8.918	train
751	 Decreto no 6.871	train
752	 Decreto no 8.777	train
753	 Decreto no 6.761	train
754	 Lei no 13.340	train
755	 Decreto no 4.877	train
756	 Decreto no 9.305	train
757	Lei Complementar no 134	train
758	 Lei no 13.707	train
759	 Lei no 13.808	test
760	Lei Complementar no 94	test
761	 Decreto no 7.469	test
762	 Lei no 7.853	train
763	 Lei no 13.328	train
764	Lei Complementar no 95	train
765	 Lei no 1.283	train
766	 Decreto no 4.858	train
767	 Decreto no 7.559	train
768	 Lei no 12.414	train
769	 Decreto no 99.274	train
770	 Decreto no 88.777	test
771	Lei Complementar no 26	test
772	 Lei no 8.036	test
773	 Decreto no 9.826	train
774	 Decreto no 9.711	train
775	 Decreto no 9.702	train
776	 Decreto no 2.153	train
777	 Lei no 11.196	train
778	 Decreto no 5.798	train
779	 Lei no 8.213	train
780	 Lei no 13.846	train
781	 Lei no 6.404	train
782	 Lei no 13.043	train
783	 Decreto no 9.783	train
784	 Lei no 13.448	train
785	 Lei no 12.302	test
786	 Lei no 11.775	test
787	 Lei no 6.015	train
788	 Decreto no 1.278	train
789	 Decreto no 9.888	train
790	 Decreto no 8.950	train
791	 Decreto no 9.678	train
792	 Lei no 10.826	train
793	 Decreto no 9.847	train
794	 Lei no 8.443	train
795	Decreto-Lei no 3.365	train
796	 Decreto no 9.468	test
797	 Decreto no 9.794	test
798	 Decreto no 9.884	train
799	 Lei no 8.112	train
800	 Decreto no 2.661	train
801	 Decreto no 4.858	train
802	 Lei no 10.593	train
803	 Decreto no 9.366	train
804	 Lei no 11.508	train
805	 Decreto no 6.814	train
806	 Decreto no 9.992	train
807	 Decreto no 2.661	train
808	 Decreto no 9.579	train
809	 Decreto no 2.594	test
810	 Decreto no 660	test
811	Lei Complementar no 95	train
812	 Decreto no 6.025	train
813	 Lei no 7.960	train
814	 Lei no 9.296	train
815	 Lei no 8.069	train
816	 Lei no 8.906	train
817	 Lei no 4.898	train
818	Decreto-Lei no 2.848	train
819	 Lei no 13.639	train
820	 Decreto no 9.461	train
821	 Lei no 12.933	train
822	 Lei no 8.666	train
823	 Lei no 10.520	train
824	 Lei no 11.079	train
825	 Lei no 12.462	train
826	 Decreto no 9.088	train
827	 Lei no 10.048	train
828	 Lei no 10.098	train
829	 Decreto no 5.296	train
830	 Lei no 10.826	test
831	 Lei no 11.340	test
832	 Lei no 13.364	train
833	 Decreto no 5.294	train
834	 Decreto no 88.777	train
835	 Decreto no 9.683	train
836	 Lei no 8.906	train
837	 Lei no 5.010	train
838	 Lei no 8.213	train
839	Decreto-Lei no 5.452	train
840	Lei Complementar no 134	train
841	 Decreto no 9.912	train
842	 Lei no 10.233	train
843	 Lei no 12.815	train
844	 Lei no 13.448	train
845	 Decreto no 9.985	test
846	Lei Delegada no 4	test
847	 Lei no 11.887	test
848	Decreto-Lei no 9.760	test
849	Decreto-Lei no 5.452	test
850	Decreto-Lei no 73	test
851	 Lei no 13.648	train
852	 Decreto no 9.711	train
853	 Lei no 13.488	train
854	Decreto-Lei no 5.452	train
855	 Decreto no 9.215	train
856	 Decreto no 5.741	train
857	 Decreto no 9.609	train
858	 Decreto no 9.662	train
859	 Lei no 9.472	train
860	 Lei no 9.998	train
861	 Lei no 9.472	train
862	 Decreto no 4.115	train
863	 Decreto no 9.745	test
864	 Decreto no 9.660	test
865	 Lei no 12.213	test
866	 Decreto no 9.569	test
867	 Decreto no 9.620	train
868	 Lei no 9.504	train
869	 Lei no 11.340	train
870	 Lei no 8.427	train
871	 Lei no 11.340	train
872	 Lei no 12.111	train
873	 Decreto no 7.246	train
874	 Decreto no 9.681	train
875	 Lei no 6.019	train
876	 Lei no 10.836	test
877	 Decreto no 8.518	test
878	 Lei no 12.651	train
879	 Lei no 9.605	train
880	 Lei no 12.276	train
881	 Lei no 10.304	train
882	 Decreto no 9.217	train
883	 Decreto no 9.745	train
884	 Decreto no 9.662	train
885	 Decreto no 9.673	train
886	 Decreto no 5.294	train
887	 Decreto no 9.570	test
888	 Lei no 9.478	test
889	 Decreto no 2.705	test
890	 Decreto no 9.711	train
891	 Lei no 10.779	train
892	 Decreto no 8.424	train
893	 Lei no 10.304	train
894	 Decreto no 8.713	train
895	 Lei no 11.340	train
896	 Lei no 13.105	train
897	 Lei no 12.732	train
898	 Lei no 5.895	train
899	 Lei no 4.502	train
900	 Lei no 11.488	train
901	 Lei no 12.995	train
902	 Decreto no 6.961	train
903	Lei Complementar no 95	train
904	Lei Complementar no 95	test
905	 Lei no 13.155	test
906	 Decreto no 8.642	test
907	 Decreto no 8.137	train
908	 Lei no 11.488	train
909	 Decreto no 6.144	train
910	 Lei no 13.576	train
911	 Decreto no 9.888	train
912	 Decreto no 8.428	train
913	 Decreto no 3.520	train
914	 Lei no 13.707	train
915	 Decreto no 9.660	train
916	 Lei no 13.844	train
917	 Lei no 8.171	train
918	 Lei no 12.897	train
919	 Lei no 13.334	train
920	Decreto-Lei no 73	test
921	 Lei no 12.587	test
922	 Decreto no 8.401	train
923	 Lei no 10.753	train
924	 Decreto no 9.711	train
925	Lei Complementar no 101	train
926	 Decreto no 3.917	train
927	 Decreto no 10.009	train
928	Lei Complementar no 93	train
929	 Decreto no 4.892	train
930	 Lei no 10.671	train
931	 Lei no 6.766	train
932	 Decreto no 9.974	test
933	 Lei no 1.283	test
934	 Lei no 7.889	test
935	 Decreto no 9.013	test
936	 Decreto no 9.829	train
937	 Decreto no 7.983	train
938	 Lei no 9.610	train
939	 Lei no 11.371	train
940	 Lei no 12.249	train
941	 Lei no 13.328	train
942	 Lei no 9.074	train
943	 Decreto no 9.271	train
944	 Decreto no 9.711	train
945	 Decreto no 8.505	train
946	 Decreto no 9.578	train
947	 Decreto no 9.581	test
948	Lei Complementar no 123	test
949	 Decreto no 9.160	train
950	 Lei no 10.696	train
951	 Decreto no 7.775	train
952	 Decreto no 9.492	train
953	 Decreto no 9.842	train
954	 Decreto no 3.035	train
955	 Lei no 5.143	train
956	 Lei no 10.332	train
